GP,W,L,WIN%,MIN,eFG%,FTARate,TOV%,OREB%,OppeFG%,OppFTARate,OppTOV%,OppOREB%,Off_4fac,Def_4fac,Total_4fac
23.0,13.0,10.0,0.565,1119.0,0.529,0.214,0.12,0.257,0.534,0.232,0.143,0.268,0.617255073,0.38713037299999997,0.924321912063205
24.0,18.0,6.0,0.75,1172.0,0.567,0.279,0.133,0.27,0.535,0.236,0.134,0.247,0.63484416,0.385001667,0.9385498849834194
21.0,13.0,8.0,0.619,1013.0,0.583,0.237,0.148,0.233,0.526,0.273,0.149,0.306,0.629806149,0.38659601299999996,0.9353807281323501
22.0,6.0,16.0,0.273,1066.0,0.494,0.258,0.126,0.291,0.543,0.29,0.142,0.282,0.6054796960000001,0.37749949899999996,0.9046220379429412
23.0,13.0,10.0,0.565,1114.0,0.558,0.262,0.144,0.234,0.543,0.259,0.152,0.265,0.6218855700000001,0.38508766699999997,0.9267034200138288
25.0,20.0,5.0,0.8,1230.0,0.564,0.296,0.146,0.271,0.531,0.244,0.159,0.269,0.6296886139999999,0.39377672399999997,0.9418808704547618
26.0,17.0,9.0,0.654,1258.0,0.558,0.312,0.127,0.256,0.532,0.312,0.146,0.29,0.633928307,0.38174330199999995,0.9347084103996384
26.0,22.0,4.0,0.846,1253.0,0.595,0.287,0.147,0.297,0.519,0.278,0.139,0.266,0.6451747939999999,0.38947328400000003,0.9521721900473257
24.0,6.0,18.0,0.25,1162.0,0.534,0.321,0.151,0.297,0.57,0.279,0.137,0.288,0.6185022450000001,0.363586393,0.9038024707615174
24.0,18.0,6.0,0.75,1162.0,0.562,0.228,0.151,0.282,0.511,0.281,0.142,0.278,0.623450591,0.392844673,0.9352823513944661
24.0,7.0,17.0,0.292,1162.0,0.506,0.295,0.175,0.355,0.529,0.279,0.139,0.278,0.600644013,0.383739796,0.9059146846089811
25.0,16.0,9.0,0.64,1200.0,0.54,0.272,0.146,0.301,0.538,0.284,0.155,0.297,0.620288198,0.383692985,0.923949874464866
25.0,14.0,11.0,0.56,1200.0,0.532,0.27,0.151,0.281,0.516,0.273,0.141,0.259,0.6126642569999999,0.392611955,0.9251416715844125
25.0,13.0,12.0,0.52,1220.0,0.537,0.279,0.12,0.26,0.526,0.244,0.129,0.284,0.625430035,0.382936399,0.9279855597740666
23.0,20.0,3.0,0.87,1109.0,0.542,0.258,0.132,0.338,0.497,0.247,0.152,0.291,0.629319062,0.403960401,0.9509126727587025
25.0,16.0,9.0,0.64,1205.0,0.52,0.243,0.131,0.28,0.557,0.222,0.168,0.268,0.613138123,0.387144079,0.9205457538613446
24.0,19.0,5.0,0.792,1152.0,0.558,0.265,0.151,0.318,0.522,0.23,0.124,0.252,0.627640377,0.38686922199999996,0.9336390288098173
26.0,16.0,10.0,0.615,1253.0,0.565,0.267,0.153,0.259,0.543,0.297,0.162,0.31,0.624333886,0.382020869,0.9261342396587235
25.0,17.0,8.0,0.68,1210.0,0.551,0.29,0.155,0.304,0.541,0.256,0.156,0.261,0.623224572,0.388124315,0.9307302696566893
25.0,12.0,13.0,0.48,1215.0,0.53,0.279,0.131,0.334,0.525,0.274,0.125,0.289,0.625314453,0.37936521199999995,0.9245926777037548
24.0,14.0,10.0,0.583,1177.0,0.543,0.244,0.13,0.291,0.54,0.283,0.163,0.303,0.624992889,0.38536666899999994,0.9298198039818018
25.0,13.0,12.0,0.52,1210.0,0.555,0.308,0.157,0.283,0.551,0.27,0.137,0.269,0.6233672060000001,0.37457475799999995,0.9183920654825876
25.0,18.0,7.0,0.72,1215.0,0.552,0.292,0.133,0.252,0.536,0.277,0.156,0.281,0.6272010150000001,0.38701363399999994,0.9333675904401668
26.0,18.0,8.0,0.692,1248.0,0.539,0.264,0.138,0.304,0.522,0.291,0.147,0.273,0.622702065,0.3896758149999999,0.9316772375573567
23.0,13.0,10.0,0.565,1109.0,0.578,0.299,0.147,0.285,0.552,0.263,0.142,0.278,0.6371586730000001,0.3756371879999999,0.9320618996396924
27.0,16.0,11.0,0.593,1296.0,0.596,0.289,0.139,0.263,0.563,0.243,0.14,0.257,0.6455054149999999,0.37331437100000003,0.9376056337671634
26.0,9.0,17.0,0.346,1253.0,0.535,0.243,0.151,0.308,0.565,0.244,0.141,0.304,0.614884806,0.368113332,0.9046394709215351
27.0,15.0,12.0,0.556,1301.0,0.512,0.283,0.115,0.326,0.565,0.267,0.17,0.282,0.622905995,0.379980731,0.9229426609583982
25.0,16.0,9.0,0.64,1205.0,0.569,0.305,0.161,0.314,0.529,0.292,0.138,0.289,0.6309531859999998,0.38141243699999994,0.9316659576112749
22.0,12.0,10.0,0.545,1061.0,0.549,0.25,0.142,0.251,0.532,0.259,0.126,0.262,0.619502023,0.380258208,0.9200653912329504
