GP,W,L,WIN%,MIN,eFG%,FTARate,TOV%,OREB%,OppeFG%,OppFTARate,OppTOV%,OppOREB%,Off_4fac,Def_4fac,Total_4fac
34.0,17.0,17.0,0.5,1642.0,0.534,0.237,0.129,0.27,0.534,0.275,0.14,0.282,0.6188133990000001,0.381753796,0.8959598904329292
31.0,20.0,11.0,0.645,1508.0,0.566,0.246,0.141,0.257,0.528,0.24,0.124,0.262,0.6278427409999999,0.3825331639999999,0.9047431193662825
30.0,20.0,10.0,0.667,1440.0,0.584,0.236,0.15,0.229,0.518,0.281,0.141,0.304,0.6290213819999999,0.38675874099999996,0.9095823371533054
30.0,7.0,23.0,0.233,1465.0,0.511,0.252,0.132,0.302,0.562,0.285,0.145,0.276,0.6114719069999999,0.37105589299999997,0.8798064781999041
33.0,18.0,15.0,0.545,1604.0,0.544,0.251,0.14,0.243,0.526,0.265,0.148,0.273,0.617311346,0.389984204,0.9019848093376448
27.0,18.0,9.0,0.667,1326.0,0.553,0.274,0.144,0.27,0.531,0.253,0.157,0.272,0.6239765330000001,0.39211363199999993,0.9098599648805964
20.0,7.0,13.0,0.35,980.0,0.551,0.296,0.126,0.225,0.559,0.287,0.141,0.294,0.627068149,0.368951072,0.891887398043518
14.0,9.0,5.0,0.643,672.0,0.594,0.267,0.164,0.29,0.545,0.289,0.14,0.282,0.636139504,0.3758943089999999,0.9062276963916445
28.0,5.0,23.0,0.179,1349.0,0.513,0.323,0.148,0.291,0.561,0.272,0.13,0.307,0.609782523,0.363508493,0.8715353815439794
25.0,10.0,15.0,0.4,1220.0,0.55,0.223,0.162,0.273,0.548,0.3,0.137,0.267,0.612594746,0.37413738899999993,0.8835712583613639
16.0,5.0,11.0,0.313,778.0,0.515,0.263,0.175,0.35,0.532,0.289,0.127,0.279,0.602077898,0.37699222099999996,0.876710290851975
30.0,17.0,13.0,0.567,1445.0,0.552,0.271,0.147,0.303,0.538,0.275,0.143,0.308,0.625416135,0.3785615829999999,0.8990138500556998
19.0,10.0,9.0,0.526,922.0,0.547,0.282,0.149,0.274,0.529,0.265,0.129,0.246,0.620271502,0.383943302,0.8992261491872772
20.0,11.0,9.0,0.55,970.0,0.562,0.273,0.142,0.256,0.538,0.231,0.115,0.265,0.62734489,0.374862975,0.8974290316568091
19.0,16.0,3.0,0.842,917.0,0.543,0.246,0.13,0.331,0.5,0.263,0.138,0.272,0.6290607410000001,0.39801085999999997,0.9196933136496975
24.0,11.0,13.0,0.458,1167.0,0.509,0.244,0.141,0.272,0.549,0.234,0.156,0.252,0.6036123080000001,0.38687262699999997,0.8869317106064695
31.0,18.0,13.0,0.581,1498.0,0.528,0.25,0.151,0.292,0.515,0.239,0.119,0.263,0.6106318009999999,0.38639889799999994,0.8927931280360502
18.0,9.0,9.0,0.5,864.0,0.566,0.267,0.163,0.256,0.553,0.294,0.147,0.279,0.620618121,0.37497855799999996,0.8915090319668415
21.0,10.0,11.0,0.476,1013.0,0.544,0.279,0.152,0.305,0.553,0.259,0.147,0.237,0.620616966,0.38142139999999997,0.8972772534391869
32.0,18.0,14.0,0.563,1556.0,0.53,0.276,0.135,0.334,0.519,0.261,0.119,0.289,0.623568735,0.380593778,0.8991793251070307
24.0,12.0,12.0,0.5,1167.0,0.552,0.241,0.135,0.282,0.532,0.288,0.164,0.319,0.626012739,0.387438612,0.9074970336210793
28.0,9.0,19.0,0.321,1344.0,0.524,0.288,0.153,0.277,0.546,0.284,0.145,0.284,0.609095547,0.3775134989999999,0.883461038070808
28.0,18.0,10.0,0.643,1354.0,0.557,0.278,0.138,0.247,0.541,0.281,0.156,0.279,0.626093691,0.38470303699999997,0.9051199461609803
17.0,6.0,11.0,0.353,816.0,0.514,0.219,0.153,0.307,0.528,0.29,0.138,0.268,0.603006283,0.384059438,0.8838699686104141
16.0,6.0,10.0,0.375,773.0,0.538,0.316,0.166,0.279,0.532,0.278,0.14,0.277,0.612391904,0.38294510400000004,0.8912765090519678
23.0,12.0,11.0,0.522,1109.0,0.568,0.296,0.144,0.244,0.551,0.259,0.135,0.258,0.629600464,0.37560932999999996,0.9001171149673233
16.0,9.0,7.0,0.563,768.0,0.535,0.262,0.162,0.31,0.545,0.241,0.142,0.316,0.612079537,0.376490983,0.8852174438763442
34.0,15.0,19.0,0.441,1652.0,0.507,0.292,0.118,0.304,0.565,0.286,0.165,0.273,0.617931197,0.37767755599999997,0.8915198436542237
18.0,7.0,11.0,0.389,864.0,0.544,0.277,0.153,0.304,0.557,0.272,0.121,0.252,0.6199996329999999,0.36723264,0.8840191079310086
28.0,13.0,15.0,0.464,1354.0,0.531,0.273,0.145,0.288,0.514,0.251,0.121,0.277,0.6154239239999999,0.385451805,0.896236167818612
