GP,W,L,WIN%,MIN,eFG%,FTARate,TOV%,OREB%,OppeFG%,OppFTARate,OppTOV%,OppOREB%,Off_4fac,Def_4fac,Total_4fac
5.0,3.0,2.0,0.6,240.0,0.612,0.247,0.146,0.31,0.594,0.214,0.125,0.284,0.6518280679999999,0.352859115,0.8133837475979643
5.0,2.0,3.0,0.4,250.0,0.503,0.236,0.157,0.281,0.516,0.217,0.115,0.248,0.595086986,0.38733059700000005,0.7953545231667142
5.0,2.0,3.0,0.4,240.0,0.623,0.316,0.145,0.224,0.549,0.348,0.122,0.327,0.6532427540000001,0.35881279299999996,0.8193490944495984
5.0,3.0,2.0,0.6,240.0,0.506,0.289,0.129,0.238,0.556,0.227,0.163,0.262,0.6065341949999999,0.385918473,0.8034788181541261
5.0,3.0,2.0,0.6,240.0,0.527,0.239,0.123,0.258,0.509,0.283,0.16,0.299,0.6169454980000001,0.398508341,0.8221003144603269
5.0,2.0,3.0,0.4,240.0,0.571,0.222,0.137,0.283,0.562,0.221,0.17,0.326,0.6326079579999999,0.38003360199999997,0.8198235241608022
5.0,2.0,3.0,0.4,240.0,0.563,0.322,0.115,0.25,0.55,0.337,0.125,0.29,0.6408844560000001,0.36389161299999995,0.8134557087307551
5.0,3.0,2.0,0.6,240.0,0.553,0.281,0.151,0.305,0.519,0.309,0.178,0.34,0.62517396,0.395235869,0.8261126297236919
5.0,1.0,4.0,0.2,240.0,0.528,0.292,0.14,0.276,0.574,0.29,0.142,0.311,0.6160858920000001,0.360737152,0.7908252456215233
5.0,3.0,2.0,0.6,245.0,0.562,0.261,0.153,0.286,0.549,0.315,0.146,0.278,0.625248523,0.375098595,0.8098700784736329
5.0,1.0,4.0,0.2,240.0,0.531,0.285,0.201,0.366,0.527,0.254,0.117,0.249,0.602223084,0.38062842599999996,0.7957058257168172
5.0,1.0,4.0,0.2,240.0,0.489,0.314,0.166,0.392,0.586,0.302,0.17,0.339,0.601393663,0.36263981600000006,0.7804709537724077
5.0,4.0,1.0,0.8,240.0,0.628,0.255,0.114,0.304,0.566,0.263,0.099,0.296,0.671326108,0.350946863,0.8276210090958085
5.0,3.0,2.0,0.6,240.0,0.525,0.309,0.113,0.303,0.527,0.269,0.131,0.328,0.628965642,0.377282002,0.8146470797451613
5.0,1.0,4.0,0.2,240.0,0.494,0.285,0.138,0.347,0.573,0.296,0.181,0.32,0.6081289340000001,0.37499429999999995,0.7959258104933449
5.0,3.0,2.0,0.6,240.0,0.509,0.265,0.152,0.318,0.564,0.291,0.18,0.214,0.605268475,0.389405438,0.8052771137957988
5.0,4.0,1.0,0.8,240.0,0.617,0.226,0.163,0.271,0.548,0.253,0.142,0.276,0.642270138,0.37828873199999996,0.8262332916861185
5.0,3.0,2.0,0.6,240.0,0.569,0.293,0.145,0.231,0.559,0.337,0.182,0.347,0.6281850459999999,0.376299709,0.8132198641046295
5.0,0.0,5.0,0.0,240.0,0.511,0.241,0.176,0.299,0.563,0.287,0.143,0.24,0.5934259530000001,0.37324361400000006,0.7826051017666478
5.0,2.0,3.0,0.4,245.0,0.565,0.264,0.134,0.293,0.542,0.231,0.112,0.367,0.634832907,0.36187111599999994,0.8069206686333408
5.0,3.0,2.0,0.6,240.0,0.552,0.193,0.114,0.272,0.533,0.313,0.162,0.355,0.6299859160000001,0.381023683,0.8185023063961345
5.0,3.0,2.0,0.6,240.0,0.583,0.34,0.138,0.281,0.573,0.244,0.141,0.311,0.6451970250000001,0.363835176,0.8169014266168881
5.0,5.0,0.0,1.0,240.0,0.593,0.316,0.136,0.304,0.587,0.285,0.147,0.262,0.6511365689999999,0.36199046199999996,0.8202165561691841
5.0,4.0,1.0,0.8,240.0,0.526,0.293,0.149,0.308,0.492,0.28,0.141,0.262,0.614920899,0.402622877,0.8237923045822948
5.0,2.0,3.0,0.4,240.0,0.577,0.274,0.123,0.258,0.586,0.264,0.138,0.296,0.641689358,0.35699747200000004,0.8085259274797887
5.0,3.0,2.0,0.6,240.0,0.593,0.265,0.161,0.288,0.546,0.147,0.114,0.283,0.6365228019999999,0.37466004199999997,0.8186425636520613
5.0,1.0,4.0,0.2,240.0,0.511,0.246,0.131,0.34,0.609,0.266,0.129,0.267,0.615201844,0.34591714,0.7781114105179822
5.0,2.0,3.0,0.4,240.0,0.559,0.223,0.116,0.331,0.592,0.236,0.159,0.267,0.640138321,0.367132511,0.8154754415517209
5.0,3.0,2.0,0.6,240.0,0.591,0.262,0.135,0.288,0.559,0.248,0.112,0.294,0.6454874879999999,0.360304481,0.814278170252278
5.0,4.0,1.0,0.8,240.0,0.55,0.287,0.11,0.313,0.525,0.255,0.11,0.29,0.6408750700000001,0.37471705499999997,0.8222122692924613
