GP,W,L,WIN%,MIN,eFG%,FTARate,TOV%,OREB%,OppeFG%,OppFTARate,OppTOV%,OppOREB%,Off_4fac,Def_4fac,Total_4fac
15.0,8.0,7.0,0.533,735.0,0.539,0.238,0.122,0.264,0.549,0.24,0.154,0.324,0.623240869,0.378618229,0.9021105341843808
19.0,15.0,4.0,0.789,922.0,0.55,0.265,0.125,0.251,0.54,0.212,0.134,0.243,0.627518511,0.38473603,0.9114709708531041
18.0,9.0,9.0,0.5,869.0,0.579,0.271,0.145,0.222,0.525,0.294,0.143,0.321,0.6303340800000001,0.38186107,0.9114174930268883
20.0,7.0,13.0,0.35,965.0,0.507,0.262,0.135,0.273,0.544,0.269,0.15,0.297,0.606323016,0.38005641199999995,0.8881720737755521
15.0,4.0,11.0,0.267,725.0,0.552,0.265,0.122,0.218,0.597,0.261,0.146,0.255,0.6263295640000001,0.359389723,0.8875776587012808
23.0,12.0,11.0,0.522,1109.0,0.549,0.289,0.143,0.29,0.546,0.274,0.151,0.257,0.625526776,0.38315180099999996,0.9082510422217188
30.0,19.0,11.0,0.633,1455.0,0.565,0.333,0.125,0.236,0.536,0.302,0.137,0.276,0.637261074,0.378503889,0.9146318830731505
35.0,25.0,10.0,0.714,1690.0,0.571,0.264,0.145,0.288,0.545,0.271,0.14,0.266,0.63277679,0.37865675299999996,0.910731714259215
22.0,8.0,14.0,0.364,1066.0,0.532,0.293,0.144,0.293,0.566,0.305,0.149,0.272,0.618071622,0.369882365,0.8895898642247584
23.0,14.0,9.0,0.609,1104.0,0.576,0.232,0.159,0.261,0.534,0.288,0.15,0.294,0.6248343209999999,0.3835842159999999,0.908016892705307
33.0,6.0,27.0,0.182,1584.0,0.512,0.296,0.168,0.335,0.567,0.262,0.139,0.271,0.604142612,0.368501096,0.8758039296609321
20.0,7.0,13.0,0.35,960.0,0.508,0.261,0.154,0.281,0.554,0.306,0.17,0.308,0.600141276,0.379783604,0.882360162943158
32.0,17.0,15.0,0.531,1536.0,0.543,0.269,0.148,0.284,0.535,0.256,0.132,0.283,0.618989617,0.379365441,0.8989553685502975
29.0,12.0,17.0,0.414,1407.0,0.528,0.294,0.133,0.256,0.54,0.238,0.131,0.291,0.6169584590000001,0.37713609099999995,0.8951190514918913
29.0,15.0,14.0,0.517,1397.0,0.523,0.293,0.146,0.329,0.532,0.266,0.154,0.294,0.616801971,0.387481394,0.9042934327603797
25.0,16.0,9.0,0.64,1200.0,0.533,0.265,0.137,0.278,0.557,0.268,0.181,0.281,0.617904662,0.38785867999999996,0.905626058121287
17.0,13.0,4.0,0.765,826.0,0.556,0.258,0.155,0.305,0.526,0.21,0.129,0.26,0.6234541410000001,0.387542107,0.9103379578648942
32.0,16.0,16.0,0.5,1541.0,0.555,0.283,0.149,0.259,0.536,0.29,0.165,0.328,0.6224509520000001,0.385013269,0.907157591713522
28.0,16.0,12.0,0.571,1369.0,0.538,0.298,0.15,0.299,0.536,0.27,0.157,0.286,0.619362516,0.3873706209999999,0.9064992969701887
18.0,9.0,9.0,0.5,879.0,0.514,0.302,0.126,0.312,0.535,0.284,0.152,0.298,0.619423736,0.383779833,0.9033211449922547
24.0,11.0,13.0,0.458,1167.0,0.513,0.247,0.13,0.288,0.539,0.299,0.162,0.304,0.611435529,0.3842739249999999,0.8965731700530788
20.0,10.0,10.0,0.5,970.0,0.557,0.309,0.153,0.272,0.551,0.242,0.137,0.278,0.624795902,0.375537362,0.9007366175053144
19.0,13.0,6.0,0.684,927.0,0.559,0.297,0.145,0.256,0.534,0.282,0.153,0.3,0.6264222400000001,0.3845506509999999,0.9103169263687595
33.0,19.0,14.0,0.576,1599.0,0.544,0.244,0.14,0.314,0.539,0.3,0.156,0.297,0.62383542,0.38257514099999995,0.9062088377546604
32.0,17.0,15.0,0.531,1541.0,0.565,0.291,0.147,0.291,0.552,0.278,0.137,0.287,0.6313882519999999,0.3718269089999999,0.9033315828525617
24.0,15.0,9.0,0.625,1152.0,0.577,0.27,0.139,0.282,0.553,0.252,0.14,0.274,0.6375960379999999,0.37553431499999995,0.912259583975191
33.0,5.0,28.0,0.152,1589.0,0.528,0.224,0.146,0.306,0.6,0.26,0.139,0.29,0.6122278139999999,0.35195737499999996,0.8681875701262117
15.0,7.0,8.0,0.467,720.0,0.524,0.254,0.125,0.332,0.562,0.277,0.181,0.315,0.6230970229999999,0.381675797,0.904734155924336
33.0,18.0,15.0,0.545,1599.0,0.56,0.26,0.149,0.308,0.538,0.268,0.144,0.319,0.6279975830000001,0.378328194,0.9061324951435259
20.0,9.0,11.0,0.45,960.0,0.558,0.26,0.128,0.241,0.548,0.253,0.128,0.272,0.62863313,0.373265366,0.9021460095829641
