GP,W,L,WIN%,MIN,eFG%,FTARate,TOV%,OREB%,OppeFG%,OppFTARate,OppTOV%,OppOREB%,Off_4fac,Def_4fac,Total_4fac
26.0,12.0,14.0,0.462,1258.0,0.542,0.259,0.134,0.277,0.543,0.292,0.145,0.319,0.622609062,0.37488761,0.7537140408983217
26.0,17.0,9.0,0.654,1258.0,0.553,0.229,0.136,0.241,0.53,0.222,0.122,0.262,0.621248179,0.38205007599999996,0.7580977493249066
27.0,16.0,11.0,0.593,1296.0,0.581,0.259,0.148,0.221,0.517,0.297,0.135,0.314,0.6291801829999999,0.382845808,0.7646924752554346
28.0,8.0,20.0,0.286,1364.0,0.522,0.255,0.139,0.289,0.563,0.269,0.151,0.287,0.612617705,0.37290250999999996,0.7446645632865156
25.0,9.0,16.0,0.36,1215.0,0.537,0.251,0.125,0.236,0.553,0.267,0.143,0.269,0.6192857380000001,0.37619697999999996,0.7521922860392506
25.0,10.0,15.0,0.4,1205.0,0.538,0.267,0.142,0.286,0.545,0.281,0.149,0.262,0.619132582,0.38187260199999995,0.7563650921060996
24.0,9.0,15.0,0.375,1177.0,0.561,0.324,0.124,0.204,0.56,0.28,0.131,0.275,0.6321105810000001,0.366964715,0.7549068579848323
23.0,12.0,11.0,0.522,1109.0,0.559,0.24,0.155,0.279,0.575,0.274,0.142,0.276,0.621053756,0.364788435,0.7449078501453538
26.0,7.0,19.0,0.269,1253.0,0.511,0.3,0.141,0.287,0.558,0.293,0.14,0.294,0.6096819299999999,0.368616784,0.7392079569109293
24.0,6.0,18.0,0.25,1162.0,0.563,0.226,0.17,0.253,0.571,0.308,0.146,0.283,0.6135621929999999,0.365197851,0.7395565404282963
25.0,4.0,21.0,0.16,1200.0,0.519,0.275,0.166,0.326,0.581,0.264,0.132,0.269,0.6057854829999999,0.359575979,0.7294324972459973
25.0,8.0,17.0,0.32,1205.0,0.527,0.262,0.154,0.287,0.551,0.291,0.154,0.319,0.609322445,0.37484655699999997,0.7436435792181655
26.0,13.0,13.0,0.5,1258.0,0.556,0.278,0.146,0.279,0.547,0.247,0.122,0.279,0.6256982900000001,0.3710997529999999,0.7531861529349233
24.0,10.0,14.0,0.417,1157.0,0.547,0.292,0.154,0.25,0.553,0.226,0.12,0.276,0.6166354330000001,0.369315179,0.7449897736568021
25.0,11.0,14.0,0.44,1205.0,0.521,0.29,0.147,0.322,0.541,0.28,0.144,0.28,0.6146309099999999,0.38002754699999997,0.7515694698369474
24.0,11.0,13.0,0.458,1162.0,0.522,0.268,0.147,0.27,0.55,0.283,0.169,0.265,0.608510859,0.386940537,0.7521686189616033
24.0,12.0,12.0,0.5,1172.0,0.517,0.241,0.154,0.277,0.516,0.228,0.122,0.271,0.602465629,0.387049898,0.7476834432855154
24.0,9.0,15.0,0.375,1152.0,0.552,0.289,0.155,0.257,0.541,0.286,0.154,0.311,0.618982627,0.380450485,0.7551772257472803
24.0,9.0,15.0,0.375,1172.0,0.531,0.29,0.148,0.3,0.546,0.275,0.149,0.27,0.616566003,0.381032797,0.7537912093839212
25.0,15.0,10.0,0.6,1220.0,0.518,0.291,0.133,0.319,0.524,0.264,0.137,0.295,0.618472659,0.38452666900000004,0.7578718784188396
24.0,9.0,15.0,0.375,1157.0,0.523,0.244,0.136,0.279,0.532,0.304,0.162,0.32,0.612517127,0.38551026999999993,0.7541150596641825
23.0,6.0,17.0,0.261,1104.0,0.518,0.284,0.149,0.267,0.544,0.261,0.147,0.295,0.606703225,0.37962047699999996,0.7452716825387182
22.0,13.0,9.0,0.591,1066.0,0.565,0.279,0.15,0.249,0.54,0.286,0.153,0.296,0.6253027729999999,0.381988173,0.7611146488817088
24.0,7.0,17.0,0.292,1167.0,0.529,0.205,0.151,0.319,0.55,0.303,0.153,0.304,0.610766896,0.375592173,0.7452984060408939
25.0,10.0,15.0,0.4,1205.0,0.535,0.299,0.16,0.289,0.539,0.293,0.134,0.29,0.6132292930000001,0.375213605,0.7468729588391325
20.0,11.0,9.0,0.55,965.0,0.542,0.275,0.144,0.264,0.537,0.272,0.136,0.278,0.61851676,0.379451679,0.7540705106710173
23.0,5.0,18.0,0.217,1104.0,0.525,0.228,0.151,0.307,0.601,0.265,0.138,0.293,0.6093095900000001,0.35049655900000004,0.7252348718030075
22.0,7.0,15.0,0.318,1071.0,0.513,0.277,0.125,0.295,0.563,0.303,0.17,0.291,0.616039106,0.37761629700000005,0.750811556648061
26.0,9.0,17.0,0.346,1258.0,0.542,0.231,0.14,0.3,0.559,0.248,0.134,0.303,0.620702452,0.367931267,0.7470171442495056
26.0,10.0,16.0,0.385,1253.0,0.537,0.283,0.134,0.284,0.526,0.246,0.122,0.285,0.622638613,0.379997516,0.7575974432316109
