GP,W,L,WIN%,MIN,eFG%,FTARate,TOV%,OREB%,OppeFG%,OppFTARate,OppTOV%,OppOREB%,Off_4fac,Def_4fac,Total_4fac
15.0,8.0,7.0,0.533,730.0,0.565,0.238,0.123,0.241,0.547,0.228,0.132,0.304,0.6322563339999999,0.3737632169999999,1.5393345412486001
15.0,10.0,5.0,0.667,730.0,0.536,0.248,0.132,0.276,0.542,0.21,0.114,0.228,0.6198664120000001,0.37770813599999997,1.6598368373544221
15.0,8.0,7.0,0.533,720.0,0.587,0.244,0.148,0.213,0.512,0.287,0.127,0.31,0.6300949629999999,0.38304741699999995,1.550233352012475
15.0,5.0,10.0,0.333,720.0,0.53,0.274,0.127,0.255,0.563,0.27,0.138,0.273,0.6187588390000001,0.36918402300000003,1.3144570984572506
15.0,8.0,7.0,0.533,730.0,0.552,0.255,0.124,0.235,0.524,0.271,0.138,0.284,0.6265683860000001,0.385533908,1.5486418915840194
15.0,8.0,7.0,0.533,725.0,0.557,0.283,0.132,0.278,0.563,0.262,0.152,0.267,0.6317955470000001,0.375719397,1.541622677791626
15.0,7.0,8.0,0.467,730.0,0.565,0.34,0.114,0.216,0.547,0.339,0.114,0.297,0.640011371,0.360160673,1.4644996225536593
15.0,12.0,3.0,0.8,720.0,0.587,0.26,0.148,0.299,0.513,0.295,0.145,0.303,0.639613115,0.38972411799999995,1.849330900228623
15.0,5.0,10.0,0.333,725.0,0.541,0.317,0.149,0.285,0.584,0.291,0.152,0.294,0.6209720300000001,0.361726398,1.307479383688671
15.0,9.0,6.0,0.6,735.0,0.55,0.248,0.147,0.282,0.533,0.298,0.134,0.263,0.620934335,0.38023230499999994,1.5988613033036878
15.0,1.0,14.0,0.067,720.0,0.519,0.286,0.169,0.323,0.557,0.293,0.113,0.265,0.605055586,0.361471966,1.0293500665808921
15.0,6.0,9.0,0.4,725.0,0.519,0.292,0.145,0.322,0.567,0.274,0.15,0.306,0.614639426,0.36852133899999995,1.3738427094657606
15.0,6.0,9.0,0.4,720.0,0.559,0.274,0.127,0.288,0.566,0.298,0.124,0.273,0.635017424,0.360572886,1.3912114251307177
15.0,9.0,6.0,0.6,730.0,0.549,0.281,0.132,0.27,0.536,0.251,0.122,0.287,0.6272869830000001,0.374983964,1.600624879574335
15.0,11.0,4.0,0.733,720.0,0.541,0.27,0.135,0.336,0.512,0.265,0.155,0.299,0.628304894,0.39641580499999995,1.7725092510198457
15.0,10.0,5.0,0.667,720.0,0.515,0.268,0.138,0.314,0.553,0.291,0.176,0.253,0.6131818969999999,0.38895569699999993,1.6674291640196595
15.0,9.0,6.0,0.6,730.0,0.542,0.224,0.155,0.294,0.515,0.229,0.116,0.277,0.613846159,0.38452063899999994,1.5943899607216332
15.0,9.0,6.0,0.6,720.0,0.565,0.29,0.144,0.259,0.551,0.319,0.174,0.338,0.629334349,0.37886736499999996,1.610096303687318
15.0,4.0,11.0,0.267,720.0,0.528,0.295,0.156,0.301,0.564,0.299,0.146,0.24,0.6125530100000001,0.373163644,1.2465598879148516
15.0,9.0,6.0,0.6,730.0,0.526,0.306,0.118,0.329,0.521,0.261,0.122,0.311,0.6298399680000001,0.378692495,1.6106245092388003
15.0,9.0,6.0,0.6,720.0,0.555,0.235,0.119,0.294,0.53,0.335,0.163,0.326,0.634334274,0.384157979,1.6265302757553823
15.0,7.0,8.0,0.467,720.0,0.555,0.301,0.136,0.253,0.564,0.268,0.15,0.298,0.6280787090000001,0.37105056200000003,1.4629727445789447
15.0,11.0,4.0,0.733,725.0,0.569,0.287,0.133,0.288,0.565,0.295,0.145,0.281,0.638040682,0.36855783400000003,1.7411624293468557
15.0,5.0,10.0,0.333,720.0,0.512,0.246,0.164,0.29,0.543,0.282,0.135,0.26,0.597962192,0.377483784,1.2978300027585612
15.0,6.0,9.0,0.4,720.0,0.565,0.323,0.149,0.283,0.55,0.31,0.134,0.282,0.631939426,0.36994326799999994,1.4000042352095035
15.0,10.0,5.0,0.667,720.0,0.594,0.264,0.137,0.293,0.56,0.225,0.132,0.295,0.646683649,0.36901405,1.689991449557636
15.0,3.0,12.0,0.2,720.0,0.532,0.255,0.136,0.316,0.595,0.255,0.122,0.289,0.620921902,0.34805144099999996,1.1605864999073814
15.0,7.0,8.0,0.467,730.0,0.516,0.286,0.103,0.307,0.565,0.275,0.171,0.315,0.627672281,0.37659254000000003,1.4704924618933042
15.0,6.0,9.0,0.4,720.0,0.556,0.308,0.142,0.297,0.553,0.26,0.117,0.267,0.630997298,0.3667957639999999,1.3942894922014282
15.0,10.0,5.0,0.667,720.0,0.551,0.288,0.144,0.3,0.516,0.24,0.115,0.285,0.626955151,0.3821718070000001,1.6790585744332849
